# 2024-05-29
# This is a hand-crafted list providing synonymes for EDQM Standard Terms
"SYNONYME";"TARGETCODE";"NAME"
###### Release characteristics  ---------------------------------------------------------------------------------------
"Magensaftresistent";"RCA-0044";"Delayed"
"Magensaftresist.";"RCA-0044";"Delayed"
"Magensaftres.";"RCA-0044";"Delayed"
"retard";"RCA-0045";"Prolonged"
"ret.";"RCA-0045";"Prolonged"
"retardiert";"RCA-0045";"Prolonged"
##### Basic dose form -------------------------------------------------------------------------------------------------
"Kapsel";"BDF-0051";"Capsule"
"Kaps.";"BDF-0051";"Capsule"
"Granulat";"BDF-0053";"Granules"
"Gran.";"BDF-0053";"Granules"
"Implantat";"BDF-0055";"Implant"
"Lutschtabl.";"BDF-0058";"Lozenge"
"Lutschtbl.";"BDF-0058";"Lozenge"
"Lutschtablette";"BDF-0058";"Lozenge"
"Lyophilisat";"BDF-0059";"Lyophilisate"
"Pessar";"BDF-0063";"Pessary"
"Pflaster";"BDF-0065";"Plaster"
"Puder";"BDF-0066";"Powder"
"Pulver";"BDF-0066";"Powder"
"Suppositorium";"BDF-0068";"Suppository"
"Tablette";"BDF-0069";"Tablet"
"Tabl.";"BDF-0069";"Tablet"
"Tbl.";"BDF-0069";"Tablet"
"Tee";"BDF-0070";"Tea"
"Creme";"BDF-0071";"Cream"
"Lotion";"BDF-0071";"Cream"
"Flüssigkeit";"BDF-0082";"Liquid"
"Lösung";"BDF-0083";"Solution"
"Lsg.";"BDF-0083";"Solution"
"Lösungsmittel";"BDF-0084";"Solvent"
"Sirup";"BDF-0086";"Syrup"
"Gas";"BDF-0087";"Medicinal gas"
"Spray";"BDF-0094";"Spray (unspecified)"
"Zement";"BDF-0103";"Cement"
# Pharmaceutical Dose Form --------------------------------------------------------------------------------------------
"Tablette";"PDF-10219000";"Tablet"
"Tabl.";"PDF-10219000";"Tablet"
"Tbl.";"PDF-10219000";"Tablet"
"Filmtablette";"PDF-10221000";"Film-coated tablet"
"Filmtbl.";"PDF-10221000";"Film-coated tablet"
"Lacktablette";"PDF-10220000";"Coated tablet"
"Lacktbl.";"PDF-10220000";"Coated tablet"
"Dragee";"PDF-10220000";"Coated tablet"
"Drg.";"PDF-10220000";"Coated tablet"
"Retardtablette";"PDF-10226000";"Prolonged-release tablet"
"Retardtbl.";"PDF-10226000";"Prolonged-release tablet"
"Hartkapsel";"PDF-10210000";"Capsule, hard"
"Hartkaps.";"PDF-10210000";"Capsule, hard"
"Weichkapsel";"PDF-10211000";"Capsule, soft"
"Weichkaps.";"PDF-10211000";"Capsule, soft"
"Augensalbe";"PDF-10603000";"Eye ointment"
"Brausetablette";"PDF-10222000";"Effervescent tablet"
"Brausetbl.";"PDF-10222000";"Effervescent tablet"
"Gel";"PDF-10546250";"Transdermal gel"
"Granulat zum Einnehmen";"PDF-10204000";"Granules"
"Gran. zum Einnehmen";"PDF-10204000";"Granules"
"Granulat";"PDF-10204000";"Granules"
"Infusionslösung";"PDF-11210000";"Solution for infusion"
"Infusionslsg.";"PDF-11210000";"Solution for infusion"
"Inf.-Lsg.";"PDF-11210000";"Solution for infusion"
"Injektionslösung";"PDF-11201000";"Solution for injection"
"Injektionslsg.";"PDF-11201000";"Solution for injection"
"Inj.-Lsg.";"PDF-11201000";"Solution for injection"
"Kaudragee";"PDF-10228000";"Chewable tablet"
"Kaudrg.";"PDF-10228000";"Chewable tablet"
"Kautablette";"PDF-10228000";"Chewable tablet"
"Kautbl.";"PDF-10228000";"Chewable tablet"
"Buccaltablette";"PDF-10320000";"Buccal tablet"
"Buccaltbl.";"PDF-10320000";"Buccal tablet"
"Lotion";"PDF-10502000";"Cream"
"Pulver zur Anw. auf der Haut";"Cutaneous powder";"PDF-10517000"
"Pulver z. Anw. auf der Haut";"Cutaneous powder";"PDF-10517000"
"Pulver zur Anwendung auf der Haut";"Cutaneous powder";"PDF-10517000"
"Pulver z. Anwendung auf der Haut";"Cutaneous powder";"PDF-10517000"
"Pulver zum Einnehmen";"Oral powder";"PDF-10201000"
"Pulver z. Einnehmen";"Oral powder";"PDF-10201000"
"Tropfen zum Einnehmen, Lösung";"Oral drops, solution";"PDF-10101000"
"Tropfen zum Einnehmen, Lsg.";"Oral drops, solution";"PDF-10101000"
"Tropfen zum Einnehmen, Suspension";"Oral drops, suspension";"PDF-10102000"
"Tropfen zum Einnehmen, Susp.";"Oral drops, suspension";"PDF-10102000"
"Vaginaltbl.";"Vaginal tablet";"PDF-10912000"
"Zerbeißkaps.";"Chewable capsule, soft";"PDF-10214000"
"Blasenspüllösung.";"Urethral emulsion";"PDF-13077000"
"Blasenspüllsg.";"Urethral emulsion";"PDF-13077000"
"Manteltablette, magensaftresistent";"Gastro-resistant tablet";"PDF-10225000"
"Manteltablette, magensaftres.";"Gastro-resistant tablet";"PDF-10225000"
"Manteltbl., magensaftresistent";"Gastro-resistant tablet";"PDF-10225000"
"Manteltbl., magensaftres.";"Gastro-resistant tablet";"PDF-10225000"
"Pulver + Lsgmittel. z. Herst. einer Inf.-Lsg.";"Powder for solution for infusion";"PDF-11212000"
